Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip.Hab.Fra.,Régimen factura,AD,NI,CU,Horario venta,Precio alojamiento,Precio desayuno,Precio almuerzo,Precio cena,Cantidad Habitaciones,Mes Entrada,Mes Venta,Antelacion,Score Canc
2016-09-02,2016-08-18,2016-08-13,4,EC,SA,3,1,0,Mañana,509.56,0.0,0.0,0.0,1,September,August,20,0.7619047619047619
2016-09-11,2016-08-15,2016-08-13,3,EM,HD,2,0,0,Mañana,241.23,10.05,0.0,0.0,1,September,August,29,0.9333333333333333
2016-08-21,2016-08-16,2016-08-15,3,EM,HD,2,0,0,Mañana,438.78999,18.27,0.0,0.0,1,August,August,6,0.8571428571428571
2016-09-13,2016-08-16,2016-08-15,7,EC,HD,2,0,0,Mañana,486.29,20.23,0.0,0.0,1,September,August,29,0.9666666666666667
2016-08-20,2016-08-16,2016-08-12,6,EC,SA,2,0,0,Mañana,821.52,0.0,0.0,0.0,1,August,August,8,0.5555555555555556
2016-08-22,2016-08-18,2016-08-15,3,EC,HD,2,1,0,Mañana,579.51,24.15,0.0,0.0,1,August,August,7,0.625
2016-08-23,2016-08-16,2016-08-16,7,EM,PC,2,0,0,Mañana,902.89003,47.53,118.79,118.79,1,August,August,7,1.0
2016-09-12,2016-09-08,2016-08-16,2,EC,PC,2,0,0,Mañana,153.86,8.1,20.24,20.24,1,September,August,27,0.17857142857142858
2016-09-12,2016-08-16,2016-08-16,2,EC,PC,2,0,0,Mañana,153.86,8.1,20.24,20.24,1,September,August,27,1.0
2016-08-21,2016-08-16,2016-08-16,1,EM,MPC,2,0,0,Mañana,0.0,0.0,0.0,0.0,1,August,August,5,1.0
2016-08-21,2016-08-16,2016-08-16,3,EC,SA,2,0,0,Tarde,382.83999,0.0,0.0,0.0,1,August,August,5,1.0
2016-09-05,2016-08-27,2016-08-16,5,DSM,PC,2,0,0,Tarde,634.2,33.4,83.45,83.45,2,September,August,20,0.47619047619047616
2016-09-05,2016-08-27,2016-08-16,5,DSM,PC,2,0,0,Tarde,634.2,33.4,83.45,83.45,2,September,August,20,0.47619047619047616
2016-09-01,2016-08-26,2016-08-16,3,EM,MPC,4,0,0,Tarde,760.94001,35.400000000000006,0.0,88.47,1,September,August,16,0.4117647058823529
2016-08-21,2016-08-17,2016-08-16,3,EC,HD,2,0,0,Tarde,384.81999,16.02,0.0,0.0,1,August,August,5,0.8333333333333334
2016-09-12,2016-08-23,2016-08-16,3,EC,SA,2,0,0,Noche,199.08,0.0,0.0,0.0,2,September,August,27,0.75
2016-09-12,2016-08-23,2016-08-16,3,EC,SA,2,0,0,Noche,199.08,0.0,0.0,0.0,2,September,August,27,0.75
2016-09-11,2016-08-24,2016-08-17,7,EC,SA,2,0,0,Mañana,464.52,0.0,0.0,0.0,1,September,August,25,0.7307692307692307
2016-09-13,2016-08-24,2016-08-17,5,EC,SA,2,0,0,Mañana,331.8,0.0,0.0,0.0,1,September,August,27,0.75
2016-08-21,2016-08-17,2016-08-17,3,EC,SA,2,0,0,Tarde,265.61001,0.0,0.0,0.0,1,August,August,4,1.0
2016-09-02,2016-08-27,2016-08-17,3,EC,MPC,2,2,0,Tarde,369.87,17.19,0.0,43.02,1,September,August,16,0.4117647058823529
2016-08-20,2016-08-21,2016-08-17,4,EC,PC,2,2,0,Noche,692.86,36.48,91.16,91.16,1,August,August,3,0.0
2016-08-29,2016-08-18,2016-08-17,4,EC,PC,2,0,2,Noche,398.16,20.96,52.4,52.4,1,August,August,12,0.9230769230769231
2016-09-05,2016-08-31,2016-08-18,5,EC,MPC,2,2,0,Mañana,616.45,28.65,0.0,71.7,1,September,August,18,0.3157894736842105
2016-09-04,2016-09-04,2016-08-18,6,EC,PC,3,0,1,Tarde,742.62,39.06,97.68,97.68,1,September,August,17,0.05555555555555555
2016-08-21,2016-08-18,2016-08-18,1,EC,SA,2,2,0,Tarde,127.6,0.0,0.0,0.0,1,August,August,3,1.0
2016-08-25,2016-08-20,2016-08-19,3,EC,SA,2,0,0,Mañana,435.06000000000006,0.0,0.0,0.0,1,August,August,6,0.8571428571428571
2016-09-11,2016-08-31,2016-08-19,4,EM,PC,2,0,0,Mañana,303.45,15.96,39.92,39.92,1,September,August,23,0.5
2016-09-02,2016-08-29,2016-08-19,4,EC,MPA,3,1,0,Mañana,635.24,29.56,73.88,0.0,1,September,August,14,0.3333333333333333
2016-08-28,2016-08-20,2016-08-19,6,DSC,PC,4,0,0,Tarde,942.67998,49.62,124.02,124.02,1,August,August,9,0.9
2016-08-28,2016-08-29,2016-08-19,6,DSM,PC,4,0,0,Tarde,1206.78,63.54,158.76,158.76,1,August,August,9,0.0
2016-08-22,2016-08-20,2016-08-19,7,EM,SA,2,0,0,Tarde,887.99998,0.0,0.0,0.0,1,August,August,3,0.75
2016-09-08,2016-09-02,2016-08-19,3,EC,PC,5,0,0,Noche,469.82001,24.72,61.8,61.8,1,September,August,20,0.3333333333333333
2016-09-07,2016-08-22,2016-08-19,5,EC,PC,3,0,0,Noche,493.21,25.950000000000003,64.9,64.9,1,September,August,19,0.85
2016-08-27,2016-08-22,2016-08-20,3,EM,PC,2,0,0,Mañana,350.82999,18.48,46.17,46.17,1,August,August,7,0.75
2016-09-07,2016-08-24,2016-08-20,5,EC,PC,2,1,0,Mañana,490.28,25.8,64.5,64.5,2,September,August,18,0.7894736842105263
2016-09-07,2016-08-24,2016-08-20,5,EC,PC,2,0,0,Mañana,490.28,25.8,64.5,64.5,2,September,August,18,0.7894736842105263
2016-09-01,2016-08-22,2016-08-20,3,EC,PC,3,0,0,Mañana,260.94999,13.74,34.32,34.32,1,September,August,12,0.8461538461538461
2016-09-14,2016-08-29,2016-08-20,4,DSC,SA,2,0,0,Mañana,312.64,0.0,0.0,0.0,2,September,August,25,0.6538461538461539
2016-09-14,2016-08-29,2016-08-20,4,DSC,SA,2,0,0,Mañana,312.64,0.0,0.0,0.0,2,September,August,25,0.6538461538461539
2016-08-27,2016-08-23,2016-08-20,8,EM,SA,2,1,0,Mañana,1192.33,0.0,0.0,0.0,1,August,August,7,0.625
2016-09-06,2016-08-22,2016-08-22,4,EC,MPC,3,0,0,Mañana,626.08,29.12,0.0,72.8,1,September,August,15,1.0
2016-08-29,2016-08-22,2016-08-22,6,EC,PC,4,0,0,Tarde,908.05002,47.82,119.52,119.52,1,August,August,7,1.0
2016-09-08,2016-08-22,2016-08-22,3,EM,HD,2,2,0,Noche,480.33,20.01,0.0,0.0,1,September,August,17,1.0
2016-09-01,2016-08-26,2016-08-22,4,EC,PC,2,1,0,Noche,494.62,26.04,65.08,65.08,1,September,August,10,0.6363636363636364
2016-09-04,2016-08-25,2016-08-23,10,EC,MPC,2,0,0,Mañana,851.9100000000001,39.6,0.0,99.1,1,September,August,12,0.8461538461538461
2016-09-10,2016-09-07,2016-08-23,3,EC,MPC,2,0,0,Mañana,220.35,10.26,0.0,25.62,1,September,August,18,0.21052631578947367
2016-09-01,2016-08-25,2016-08-23,3,EM,MPC,2,0,0,Tarde,237.12,11.04,0.0,27.57,2,September,August,9,0.8
2016-09-01,2016-08-25,2016-08-23,3,IND,MPC,1,0,0,Tarde,237.12,11.04,0.0,27.57,2,September,August,9,0.8
2016-09-01,2016-08-24,2016-08-23,3,EC,PC,4,0,0,Tarde,391.26,20.58,51.48,51.48,1,September,August,9,0.9
2016-09-08,2016-08-26,2016-08-23,3,EC,PC,3,0,0,Noche,450.15,23.700000000000003,59.25,59.25,3,September,August,16,0.8235294117647058
2016-09-08,2016-08-26,2016-08-23,3,EC,PC,2,1,0,Noche,416.85,21.93,54.84,54.84,3,September,August,16,0.8235294117647058
2016-09-08,2016-08-26,2016-08-23,3,EC,PC,2,0,0,Noche,333.45000000000005,17.549999999999997,43.89,43.89,3,September,August,16,0.8235294117647058
2016-09-01,2016-08-23,2016-08-23,4,EM,MPC,2,0,0,Noche,0.0,0.0,0.0,0.0,1,September,August,9,1.0
2016-09-01,2016-08-27,2016-08-23,4,EM,MPC,2,0,0,Noche,378.4,17.6,0.0,44.0,1,September,August,9,0.6
2016-09-05,2016-08-28,2016-08-24,3,EM,SA,2,0,0,Mañana,322.79999999999995,0.0,0.0,0.0,1,September,August,12,0.6923076923076923
2016-09-01,2016-08-29,2016-08-24,6,EC,PC,2,2,0,Mañana,1228.27998,64.62,161.64,161.64,1,September,August,8,0.4444444444444444
2016-09-05,2016-08-26,2016-08-24,5,EC,HD,2,0,0,Tarde,506.5,21.1,0.0,0.0,1,September,August,12,0.8461538461538461
2016-09-02,2016-08-26,2016-08-24,2,EC,HD,2,2,0,Tarde,298.9,12.46,0.0,0.0,1,September,August,9,0.8
